Trade_ID,Open_Time,Close_Time,Instrument,Direction,Entry_Price,Exit_Price,SL_Price,TP_Price,Units,Outcome,PnL,PnL_Percent,Duration_Minutes,Signal_Type
UNKNOWN,2025-11-12 13:16:01,2025-11-12 13:31:06,NZD_USD,SELL,0.5666,0,0.56671332,0.56626004,-1000,CLOSED_UNKNOWN,0,0.0,15.097159466666666,BEARISH
UNKNOWN,2025-11-12 14:31:02,2025-11-12 14:46:00,NZD_USD,SELL,0.56651,0,0.566623302,0.566170094,-1000,CLOSED_UNKNOWN,0,0.0,14.978624166666666,BEARISH
UNKNOWN,2025-11-12 18:01:01,2025-11-12 18:16:01,NZD_USD,SELL,0.566,0,0.5661132,0.5656604,-1000,CLOSED_UNKNOWN,0,0.0,15.003399433333334,BEARISH
UNKNOWN,2025-11-12 18:46:01,2025-11-12 19:01:00,NZD_USD,SELL,0.56513,0,0.565243026,0.564790922,-1000,CLOSED_UNKNOWN,0,0.0,14.999203283333333,BEARISH
UNKNOWN,2025-11-12 19:01:01,2025-11-12 19:16:01,NZD_USD,SELL,0.56497,0,0.565082994,0.5646310179999999,-1000,CLOSED_UNKNOWN,0,0.0,15.003137433333334,BEARISH
127,2025-11-12 20:16:01,2025-11-12 20:31:01,NZD_USD,BUY,0.56615,0.56615,0.565856806,0.5663095819999999,1000,LOSS_SL,-0.29,-0.05122317407047602,15.011212766666667,BULLISH
135,2025-11-13 02:01:01,2025-11-13 02:16:00,NZD_USD,BUY,0.5674,0.5674,0.56708656,0.56754032,1000,LOSS_SL,-0.31,-0.054635178004934795,14.996234916666667,BULLISH
UNKNOWN,2025-11-13 05:46:01,2025-11-13 06:01:01,NZD_USD,SELL,0.56664,0,0.566753328,0.566300016,-1000,CLOSED_UNKNOWN,0,0.0,15.004686999999999,BEARISH
153,2025-11-13 06:31:01,2025-11-13 06:46:01,NZD_USD,BUY,0.56701,0.56701,0.566696638,0.567150086,1000,LOSS_SL,-0.32,-0.05643639441985151,15.011324116666666,BULLISH
159,2025-11-13 10:16:01,2025-11-13 10:31:01,NZD_USD,BUY,0.56776,0.56776,0.567466484,0.567920548,1000,LOSS_SL,-0.3,-0.05283922784275046,15.01438095,BULLISH
UNKNOWN,2025-11-13 12:31:03,2025-11-13 12:46:01,NZD_USD,SELL,0.56616,0,0.566273232,0.565820304,-1000,CLOSED_UNKNOWN,0,0.0,14.977805,BEARISH
UNKNOWN,2025-11-13 16:01:01,2025-11-13 16:16:00,NZD_USD,SELL,0.56529,0,0.565403058,0.5649508259999999,-1000,CLOSED_UNKNOWN,0,0.0,14.996678183333334,BEARISH
